TMJ_1990_163_193/27.png:   PNG image data, 4092 x 6075, 8-bit/color RGB, non-interlaced
TMJ_1990_163_193/31.png:   PNG image data, 4092 x 6075, 8-bit/color RGB, non-interlaced
TMJ_1990_163_193/26.png:   PNG image data, 4092 x 6075, 8-bit/color RGB, non-interlaced
TMJ_1990_163_193/16.png:   PNG image data, 4084 x 6075, 8-bit/color RGB, non-interlaced
TMJ_1990_163_193/23.png:   PNG image data, 4084 x 6075, 8-bit/color RGB, non-interlaced
TMJ_1990_163_193/29.png:   PNG image data, 4100 x 6075, 8-bit/color RGB, non-interlaced
TMJ_1990_163_193/7.png:    PNG image data, 4084 x 6075, 8-bit/color RGB, non-interlaced
TMJ_1990_163_193/10.png:   PNG image data, 4092 x 6075, 8-bit/color RGB, non-interlaced
TMJ_1990_163_193/5.png:    PNG image data, 4084 x 6075, 8-bit/color RGB, non-interlaced
TMJ_1990_163_193/2.png:    PNG image data, 4084 x 6075, 8-bit/color RGB, non-interlaced
TMJ_1990_163_193/25.png:   PNG image data, 4092 x 6075, 8-bit/color RGB, non-interlaced
TMJ_1990_163_193/17.png:   PNG image data, 4100 x 6075, 8-bit/color RGB, non-interlaced
TMJ_1990_163_193/22.png:   PNG image data, 4084 x 6075, 8-bit/color RGB, non-interlaced
TMJ_1990_163_193/18.png:   PNG image data, 4092 x 6075, 8-bit/color RGB, non-interlaced
TMJ_1990_163_193/21.png:   PNG image data, 4092 x 6075, 8-bit/color RGB, non-interlaced
TMJ_1990_163_193/24.png:   PNG image data, 4084 x 6075, 8-bit/color RGB, non-interlaced
TMJ_1990_163_193/9.png:    PNG image data, 4084 x 6075, 8-bit/color RGB, non-interlaced
TMJ_1990_163_193/14.png:   PNG image data, 4084 x 6075, 8-bit/color RGB, non-interlaced
TMJ_1990_163_193/28.png:   PNG image data, 4100 x 6075, 8-bit/color RGB, non-interlaced
TMJ_1990_163_193/32.png:   PNG image data, 4084 x 6075, 8-bit/color RGB, non-interlaced
TMJ_1990_163_193/20.png:   PNG image data, 4084 x 6075, 8-bit/color RGB, non-interlaced
TMJ_1990_163_193/4.png:    PNG image data, 4100 x 6075, 8-bit/color RGB, non-interlaced
TMJ_1990_163_193/13.png:   PNG image data, 4092 x 6075, 8-bit/color RGB, non-interlaced
TMJ_1990_163_193/19.png:   PNG image data, 4092 x 6075, 8-bit/color RGB, non-interlaced
TMJ_1990_163_193/11.png:   PNG image data, 4084 x 6075, 8-bit/color RGB, non-interlaced
TMJ_1990_163_193/12.png:   PNG image data, 4084 x 6075, 8-bit/color RGB, non-interlaced
TMJ_1990_163_193/1.png:    PNG image data, 4084 x 6075, 8-bit/color RGB, non-interlaced
TMJ_1990_163_193/30.png:   PNG image data, 4125 x 6100, 8-bit/color RGB, non-interlaced
TMJ_1990_163_193/8.png:    PNG image data, 4109 x 6084, 8-bit/color RGB, non-interlaced
TMJ_1990_163_193/15.png:   PNG image data, 4092 x 6075, 8-bit/color RGB, non-interlaced
TMJ_1990_163_193/3.png:    PNG image data, 4092 x 6075, 8-bit/color RGB, non-interlaced
TMJ_1990_163_193/6.png:    PNG image data, 4084 x 6075, 8-bit/color RGB, non-interlaced
MA_1970_26_38/7.png:       PNG image data, 3089 x 4845, 8-bit/color RGB, non-interlaced
MA_1970_26_38/10.png:      PNG image data, 3089 x 4853, 8-bit/color RGB, non-interlaced
MA_1970_26_38/5.png:       PNG image data, 3081 x 4845, 8-bit/color RGB, non-interlaced
MA_1970_26_38/2.png:       PNG image data, 3089 x 4853, 8-bit/color RGB, non-interlaced
MA_1970_26_38/9.png:       PNG image data, 3089 x 4845, 8-bit/color RGB, non-interlaced
MA_1970_26_38/4.png:       PNG image data, 3089 x 4853, 8-bit/color RGB, non-interlaced
